PolyFID,Owner,X,Y,burn50,rx_cat3,zmin_d_a,zmin_di,zm_mcov,zm_ccov,Hectares,zmin_drd,prop_timb,Prop_no_b,zmin_dr,zmin_ddv,year
2,TNC,736363.9449,98647.66749,0,4,5.777862792,9.881118164,0.41592,0.424734,115.389706,0,0.373603,0.999916,3.337559082,0.042426406,2004
2,TNC,736363.9449,98647.66749,1,4,5.777862792,9.881118164,0.41592,0.424734,115.389706,0,0.373603,0.999916,2.616199462,0.042426406,2005
2,TNC,736363.9449,98647.66749,1,1,5.777862792,9.881118164,0.41592,0.424734,115.389706,0,0.373603,0.102174,0,0.042426406,2006
2,TNC,736363.9449,98647.66749,0,1,5.777862792,9.881118164,0.41592,0.424734,115.389706,0,0.373603,0,0,0.042426406,2007
3,TNC,732501.6005,101406.0621,0,4,5.731884277,12.04387012,10.539656,8.131631,26.411409,0,0.255571,1,5.684663574,0.576281188,2004
3,TNC,732501.6005,101406.0621,0,4,5.731884277,12.04387012,10.539656,8.131631,26.411409,0,0.255571,1,2.55,0.576281188,2005
3,TNC,732501.6005,101406.0621,0,4,5.731884277,12.04387012,10.539656,8.131631,26.411409,0,0.255571,1,2.46,0.576281188,2006
3,TNC,732501.6005,101406.0621,1,4,5.731884277,12.04387012,10.539656,8.131631,26.411409,0,0.255571,1,2.46,0.576281188,2007
4,TNC,734456.8441,95572.26574,0,4,1.675977294,5.85983789,10.000856,12.961422,31.812712,3.510128173,0.045264,1,3.841874511,3.631115478,2004
4,TNC,734456.8441,95572.26574,0,4,1.675977294,5.85983789,10.000856,12.961422,31.812712,3.510128173,0.045264,1,3.463018798,3.631115478,2005
4,TNC,734456.8441,95572.26574,0,4,1.675977294,5.85983789,10.000856,12.961422,31.812712,3.510128173,0.045264,1,2.082786621,3.631115478,2006
4,TNC,734456.8441,95572.26574,1,4,1.675977294,5.85983789,10.000856,12.961422,31.812712,3.510128173,0.045264,1,1.889047363,3.631115478,2007
5,TNC,733475.0868,93420.67348,0,4,2.609310302,5.01601416,9.767806,5.466551,4.413315,5.527576171,0,0.958463,2.567586425,5.577741699,2004
5,TNC,733475.0868,93420.67348,0,4,2.609310302,5.01601416,9.767806,5.466551,4.413315,5.527576171,0,0.958463,2.567586425,5.577741699,2005
5,TNC,733475.0868,93420.67348,0,4,2.609310302,5.01601416,9.767806,5.466551,4.413315,5.527576171,0,0.958463,2.567586425,5.577741699,2006
5,TNC,733475.0868,93420.67348,1,4,2.609310302,5.01601416,9.767806,5.466551,4.413315,5.527576171,0,0.958463,0.161554946,5.577741699,2007
7,TNC,731198.1973,93847.74353,0,4,0.09,3.300818115,12.754837,5.472058,44.390881,4.217321289,0.320336,0.997502,1.93610437,4.300162597,2004
7,TNC,731198.1973,93847.74353,0,4,0.09,3.300818115,12.754837,5.472058,44.390881,4.217321289,0.320336,0.997502,1.742326049,4.300162597,2005
7,TNC,731198.1973,93847.74353,0,4,0.09,3.300818115,12.754837,5.472058,44.390881,4.217321289,0.320336,0.997502,1.742326049,4.300162597,2006
7,TNC,731198.1973,93847.74353,1,4,0.09,3.300818115,12.754837,5.472058,44.390881,4.217321289,0.320336,0.997502,0.488364624,4.300162597,2007
8,TNC,730329.1837,92385.063,0,4,1.12929187,3.063233642,7.194443,9.816896,7.472225,5.91190332,0,1,1.76082373,5.940303222,2004
8,TNC,730329.1837,92385.063,0,4,1.12929187,3.063233642,7.194443,9.816896,7.472225,5.91190332,0,1,1.502697631,5.940303222,2005
8,TNC,730329.1837,92385.063,0,4,1.12929187,3.063233642,7.194443,9.816896,7.472225,5.91190332,0,1,1.502697631,5.940303222,2006
8,TNC,730329.1837,92385.063,1,4,1.12929187,3.063233642,7.194443,9.816896,7.472225,5.91190332,0,1,0.819390014,5.940303222,2007
10,TNC,730694.0327,94565.73511,0,4,0.785175109,5.284174316,8.814669,7.045354,1.842242,3.93,0.048853,0.977069,3.767718261,3.961022705,2004
10,TNC,730694.0327,94565.73511,0,4,0.785175109,5.284174316,8.814669,7.045354,1.842242,3.93,0.048853,0.977069,3.309259765,3.961022705,2005
10,TNC,730694.0327,94565.73511,0,4,0.785175109,5.284174316,8.814669,7.045354,1.842242,3.93,0.048853,0.977069,1.866761962,3.961022705,2006
10,TNC,730694.0327,94565.73511,1,4,0.785175109,5.284174316,8.814669,7.045354,1.842242,3.93,0.048853,0.977069,0.658634948,3.961022705,2007
11,TNC,728469.6836,94401.18372,0,4,1.549870971,4.640700195,18.470727,18.843481,29.963575,3.615217773,0.075091,0.991203,4.038539306,4.126172363,2004
11,TNC,728469.6836,94401.18372,0,4,1.549870971,4.640700195,18.470727,18.843481,29.963575,3.615217773,0.075091,0.991203,1.641249511,4.126172363,2005
11,TNC,728469.6836,94401.18372,0,4,1.549870971,4.640700195,18.470727,18.843481,29.963575,3.615217773,0.075091,0.991203,0.75,4.126172363,2006
11,TNC,728469.6836,94401.18372,1,4,1.549870971,4.640700195,18.470727,18.843481,29.963575,3.615217773,0.075091,0.991203,0.512640197,4.126172363,2007
12,TNC,728455.2315,94052.70509,0,4,1.064048828,4.08396875,22.328769,22.166961,25.230926,3.603123535,0.060639,1,3.288662353,4.513379882,2004
12,TNC,728455.2315,94052.70509,0,4,1.064048828,4.08396875,22.328769,22.166961,25.230926,3.603123535,0.060639,1,1.583192993,4.513379882,2005
12,TNC,728455.2315,94052.70509,0,4,1.064048828,4.08396875,22.328769,22.166961,25.230926,3.603123535,0.060639,1,1.1136427,4.513379882,2006
12,TNC,728455.2315,94052.70509,1,4,1.064048828,4.08396875,22.328769,22.166961,25.230926,3.603123535,0.060639,1,0.03,4.513379882,2007
13,TNC,730929.1478,95467.23017,0,4,1.060235839,5.597794433,22.264089,9.503181,30.84523,2.676060546,0.046684,0.989131,3.800894531,2.72802124,2004
13,TNC,730929.1478,95467.23017,0,4,1.060235839,5.597794433,22.264089,9.503181,30.84523,2.676060546,0.046684,0.989131,2.52,2.72802124,2005
13,TNC,730929.1478,95467.23017,0,4,1.060235839,5.597794433,22.264089,9.503181,30.84523,2.676060546,0.046684,0.989131,1.339290893,2.72802124,2006
13,TNC,730929.1478,95467.23017,1,4,1.060235839,5.597794433,22.264089,9.503181,30.84523,2.676060546,0.046684,0.989131,0.662721679,2.72802124,2007
