"REEF_ID_GR","UNIQUE_POO","SURVEY_ID","REEF_NAME","OCEAN","LOCATION","COUNTRY","LONGITUDE","LATITUDE","YEAR","DEPTH_AVE","DEPTH_MIN","DEPTH_MAX","HARD_COR_P","SUBREGION","ALGAE_P","NOTES","D_SOURCE","SUBREGION_","REGION","REGION_COD","OLDDIS","AREANAME","GISNAME","DESIGNATE","IUCNCAT","IUCNCAT_PO","SITE_CODE","TERRE","MPA_POLY","MPA","LON_CEN","LAT_CEN","YEAR_MPA2","YEAR_MPA","AREA_M","PERIMETER_","GRPMPA_ID","MPA_UID_ORIG","DISTANCE_ORIG","ORIG_MPA_UID","MPA_UID","MPA_UID_SE","DISTANCE_T","logit","MPA_CODE","YEAR.PROT","FIRST.SURVEY","z"
10006,8146,10006,"East Snake Caye","Caribbean","Port Honduras","Belize",-88.51039,16.20706,2004,6,3,0,15.625,"Mesoamerican BR",6.563,"nutrient indicator algae and fleshy seaweed","Reef Check",19,"Greater Carib",160,NA,"Port Honduras","Port Honduras","Marine Reserve","IV","III_IV",0,"Y","Y","Y",-88.605581,16.214092,2000,2000,407334924,134832,869,3314,0,"Y",3314,3314,0,-1.68639895357023,3314,4,2004,4
10007,9042,10007,"Pelican Reef","Caribbean","Punta Gorda- Sapodilla Cayes","Belize",-88.33917,16.16889,2004,5,5,0,6.25,"Mesoamerican BR",0,"nutrient indicator algae and fleshy seaweed","Reef Check",19,"Greater Carib",160,NA,"Sapodilla Cayes","Sapodilla Cayes","Marine Reserve","IV","III_IV",99656,"N","Y","Y",-88.290055,16.146008,1996,1996,157121436,49898,1011,2162,0,"Y",2162,2162,0,-2.70805020110221,2162,8,2004,8
10008,7485,10008,"Bungy Back Side","Caribbean","Punta Gorda- Sapodilla Cayes","Belize",-88.33861,16.165,2004,4,4,0,20.625,"Mesoamerican BR",0,"nutrient indicator algae and fleshy seaweed","Reef Check",19,"Greater Carib",160,NA,"Sapodilla Cayes","Sapodilla Cayes","Marine Reserve","IV","III_IV",99656,"N","Y","Y",-88.290055,16.146008,1996,1996,157121436,49898,1011,2162,0,"Y",2162,2162,0,-1.34767952499211,2162,8,2004,8
10009,9459,10009,"Seal Caye Point","Caribbean","Punta Gorda- Sapodilla Cayes","Belize",-88.335,16.16833,2004,9,9,0,5.625,"Mesoamerican BR",0,"nutrient indicator algae and fleshy seaweed","Reef Check",19,"Greater Carib",160,NA,"Sapodilla Cayes","Sapodilla Cayes","Marine Reserve","IV","III_IV",99656,"N","Y","Y",-88.290055,16.146008,1996,1996,157121436,49898,1011,2162,0,"Y",2162,2162,0,-2.82005525947871,2162,8,2004,8
10010,9218,10010,"Ragged Caye1","Caribbean","Punta Gorda- Sapodilla Cayes","Belize",-88.299,16.08975,2005,8,8,0,23.75,"Mesoamerican BR",0,"nutrient indicator algae and fleshy seaweed","Reef Check",19,"Greater Carib",160,NA,"Sapodilla Cayes","Sapodilla Cayes","Marine Reserve","IV","III_IV",99656,"N","Y","Y",-88.290055,16.146008,1996,1996,157121436,49898,1011,2162,0,"Y",2162,2162,0,-1.16643488500687,2162,9,2005,9
10010,12672,13858,"Ragged Caye1","Caribbean","Sapodilla Cayes- Punta Gorda","Belize",-88.299,16.08975,2006,6,6,0,37.5,"Mesoamerican BR",0,"","Reef Check",19,"Greater Carib",160,NA,"Sapodilla Cayes","Sapodilla Cayes","Marine Reserve","IV","III_IV",99656,"N","Y","Y",-88.290055,16.146008,1996,1996,157121436,49898,1011,2162,0,"Y",2162,2162,0,-0.510825623765991,2162,9,2005,10
10011,9219,10011,"Ragged Caye2","Caribbean","Punta Gorda- Sapodilla Cayes","Belize",-88.29225,16.09436,2005,10,10,0,26.25,"Mesoamerican BR",0,"nutrient indicator algae and fleshy seaweed","Reef Check",19,"Greater Carib",160,NA,"Sapodilla Cayes","Sapodilla Cayes","Marine Reserve","IV","III_IV",99656,"N","Y","Y",-88.290055,16.146008,1996,1996,157121436,49898,1011,2162,0,"Y",2162,2162,0,-1.0330150061823,2162,9,2005,9
10012,9893,10012,"Vigilance2","Caribbean","Punta Gorda- Sapodilla Cayes","Belize",-88.27564,16.11756,2005,8,8,0,30.625,"Mesoamerican BR",0,"nutrient indicator algae and fleshy seaweed","Reef Check",19,"Greater Carib",160,NA,"Sapodilla Cayes","Sapodilla Cayes","Marine Reserve","IV","III_IV",99656,"N","Y","Y",-88.290055,16.146008,1996,1996,157121436,49898,1011,2162,0,"Y",2162,2162,0,-0.817709903201708,2162,9,2005,9
10013,8586,10013,"Lime Caye Wall","Caribbean","Punta Gorda- Sapodilla Cayes","Belize",-88.27136,16.09514,2005,10,9,0,16.875,"Mesoamerican BR",0,"nutrient indicator algae and fleshy seaweed","Reef Check",19,"Greater Carib",160,NA,"Sapodilla Cayes","Sapodilla Cayes","Marine Reserve","IV","III_IV",99656,"N","Y","Y",-88.290055,16.146008,1996,1996,157121436,49898,1011,2162,0,"Y",2162,2162,0,-1.59451226221742,2162,9,2005,9
10013,12673,13859,"Lime Caye Wall","Caribbean","Sapodilla Cayes- Punta Gorda","Belize",-88.27136,16.09514,2006,10,10,0,7.813,"Mesoamerican BR",0,"","Reef Check",19,"Greater Carib",160,NA,"Sapodilla Cayes","Sapodilla Cayes","Marine Reserve","IV","III_IV",99656,"N","Y","Y",-88.290055,16.146008,1996,1996,157121436,49898,1011,2162,0,"Y",2162,2162,0,-2.46803010977601,2162,9,2005,10
