Year,FR-02,FR-04,FR-05,FR-09,FR-10,FR-11,FR-12,FR-13,BR-06,BR-07,BR-08,NS-14,NS-15,NS-16
2008,0.382,0.422,0.229,0.243,,0.471,0.562,0.384,0.809,0.483,0.393,0.508,0.586,0.313
2007,0.398,0.301,0.136,0.287,,0.266,0.436,0.230,0.740,0.390,0.334,0.504,0.314,0.393
2006,0.260,0.508,0.102,0.460,,0.360,0.377,0.282,0.705,0.356,0.411,0.487,0.459,0.329
2005,0.341,0.448,0.322,0.156,,0.480,0.285,0.316,0.628,0.271,0.359,0.495,0.544,0.192
2004,0.382,0.448,0.280,0.208,,0.334,0.570,0.128,0.645,0.458,0.359,0.674,0.229,0.385
2003,0.390,0.345,0.178,0.460,,0.317,0.411,0.273,0.800,0.339,0.411,0.487,0.238,0.513
2002,0.252,0.465,0.339,0.339,,0.377,0.386,0.171,0.757,0.339,0.188,0.478,0.255,0.665
2001,0.236,0.319,0.204,0.460,,0.257,0.360,0.427,0.680,0.373,0.248,0.504,0.628,0.313
2000,0.276,0.405,0.373,0.287,,0.377,0.352,0.188,0.611,0.314,0.385,0.555,0.374,0.593
1999,0.276,0.379,0.356,0.408,,0.188,0.176,0.256,0.456,0.322,0.385,0.435,0.306,0.289
1998,0.154,0.233,0.170,0.434,,0.171,0.126,0.222,0.740,0.449,0.214,0.452,0.238,0.305
1997,0.301,0.181,0.382,0.313,,0.308,0.126,0.401,0.637,0.404,0.530,0.427,0.416,0.297
1996,0.325,0.534,0.314,0.382,,0.411,0.520,0.461,0.622,0.379,0.231,0.623,0.450,0.554
1995,0.341,0.517,0.305,0.330,,0.197,0.394,0.367,0.510,0.371,0.239,0.538,0.221,0.153
1994,0.374,0.457,0.297,0.347,,0.497,0.495,0.563,0.700,0.329,0.205,0.529,0.170,0.329
1993,0.512,0.501,0.212,0.469,,0.411,0.536,0.556,0.570,0.346,0.325,0.555,0.280,0.241
1992,0.285,0.649,0.373,0.313,,0.377,0.436,0.532,0.605,0.362,0.359,0.529,0.323,0.546
1991,0.390,0.665,0.365,0.443,,0.343,0.453,0.482,0.855,0.313,0.180,0.504,0.178,0.586
1990,0.309,0.517,0.466,0.408,,0.343,0.444,0.392,0.700,0.247,0.359,0.239,0.442,0.442
1989,0.504,0.591,0.254,0.408,,0.446,0.360,0.311,0.639,0.346,,0.341,0.374,0.217
1988,0.219,0.657,0.424,0.347,,0.274,0.595,0.319,0.838,0.379,,0.452,0.296,0.386
1987,0.797,0.583,0.399,0.443,,0.403,0.495,0.417,0.691,0.305,,0.495,0.362,0.257
1986,0.610,0.575,0.399,0.486,,0.180,0.436,0.466,0.648,0.329,,0.572,0.453,0.281
1985,0.480,0.747,,0.339,,0.463,0.402,0.319,0.665,0.387,,0.384,0.214,0.289
1984,0.553,0.591,,0.339,,0.394,0.478,0.319,0.665,0.362,,0.469,0.585,0.378
1983,0.333,0.632,,0.486,,0.565,0.411,0.376,0.544,0.272,,0.691,0.412,0.370
1982,0.545,0.501,,0.269,,0.428,0.327,0.360,0.596,0.346,,0.606,0.445,0.161
1981,0.512,0.591,,0.408,,0.283,0.218,0.278,0.717,0.379,,0.495,0.420,0.177
1980,0.545,0.526,,0.269,,0.343,0.377,0.237,0.622,0.288,,0.487,0.181,0.353
1979,0.398,0.542,,,,0.480,0.712,0.311,0.631,0.214,,0.589,0.453,0.345
1978,0.553,0.657,,,,0.334,0.436,0.335,0.691,0.214,,0.580,0.214,0.297
1977,0.350,0.714,,,,0.574,0.528,0.352,0.614,0.346,,0.469,0.379,0.289
1976,0.268,0.591,,,,0.454,0.377,0.523,0.665,0.264,,0.606,0.511,0.514
1975,0.431,0.509,,,,0.351,0.453,0.687,0.510,0.313,,0.597,0.296,0.231
1974,0.488,0.624,,,,0.557,0.671,0.294,0.553,0.453,,0.478,0.288,0.360
1973,0.406,0.624,,,,0.377,0.427,0.262,0.605,0.272,,0.452,0.231,0.214
1972,0.496,0.476,,,,0.411,0.210,0.311,0.562,0.338,,0.632,0.313,0.385
1971,0.472,0.583,,,,0.300,0.704,0.319,0.544,0.321,,0.435,0.173,0.642
1970,0.333,0.558,,,,0.600,0.645,0.368,0.579,0.296,,0.683,0.198,0.642
1969,0.374,0.649,,,,0.360,0.453,0.401,0.484,0.156,,0.555,0.264,0.411
1968,0.252,0.550,,,,0.351,0.545,0.532,0.510,0.585,,0.572,0.436,0.257
1967,0.626,0.706,,,,0.368,0.603,,0.665,0.231,,0.401,0.354,0.240
1966,0.236,0.591,,,,0.437,0.260,,0.423,0.313,,0.401,0.387,0.103
1965,0.154,0.632,,,,0.291,0.805,,0.579,0.255,,0.597,0.198,0.265
1964,0.260,0.558,,,,0.463,0.562,,0.505,0.412,,,0.231,0.334
1963,0.447,0.608,,,,0.386,0.394,,0.566,0.321,,,0.189,0.283
1962,0.244,0.501,,,,0.240,0.486,,0.566,0.395,,,0.247,0.274
