REEF_NAME,SECTOR,SHELF,LAT_DD,LON_DD,DATE,YEAR,YEARII,WEEK,WSSTA,TSASUMS_SM,PREV_1,CORAL_COVE,INC
19131S,WH,M,-19.76625,149.38033,3/9/1999,1999,98/99,10,26,1,0,34.98801243,
19131S,WH,M,-19.76625,149.38033,3/23/2000,2000,99/00,12,0,0,2,34.77758851,2
19131S,WH,M,-19.76625,149.38033,5/13/2001,2001,00/01,20,1,0,0,39.59714402,0
19131S,WH,M,-19.76625,149.38033,11/10/2001,2001,2-Jan,45,2,0,3,41.61791908,3
19131S,WH,M,-19.76625,149.38033,12/5/2002,2002,3-Feb,49,5,2,23,30.41710461,20
19131S,WH,M,-19.76625,149.38033,2/29/2004,2004,4-Mar,9,3,1,9,31.26245404,
19138S,WH,M,-19.80687,149.43047,3/8/1999,1999,98/99,10,24,2,0,19.50554556,
19138S,WH,M,-19.80687,149.43047,3/22/2000,2000,99/00,12,1,0,1,20.58121479,1
19138S,WH,M,-19.80687,149.43047,5/14/2001,2001,00/01,20,1,0,0,22.90958338,0
19138S,WH,M,-19.80687,149.43047,11/9/2001,2001,2-Jan,45,1,0,2,24.58007449,2
19138S,WH,M,-19.80687,149.43047,12/4/2002,2002,3-Feb,49,3,2,20,22.03728165,18
19138S,WH,M,-19.80687,149.43047,2/23/2004,2004,4-Mar,8,3,1,13,33.48747664,
19159S,WH,O,-19.66285,149.91517,3/7/1999,1999,98/99,10,17,1,0,45.3666035,
19159S,WH,O,-19.66285,149.91517,3/11/2000,2000,99/00,10,0,0,2,40.2986497,2
19159S,WH,O,-19.66285,149.91517,3/26/2001,2001,00/01,13,2,2,1,41.10885499,0
19159S,WH,O,-19.66285,149.91517,11/4/2001,2001,2-Jan,45,6,2,8,43.61870928,7
19159S,WH,O,-19.66285,149.91517,12/3/2002,2002,3-Feb,49,2,0,28,44.33820858,20
19159S,WH,O,-19.66285,149.91517,2/22/2004,2004,4-Mar,8,2,0,12,43.90154948,
20104S,WH,M,-19.66285,149.91517,3/3/1999,1999,98/99,9,16,0,0,24.18033734,
20104S,WH,M,-20.02943,149.6951,3/19/2000,2000,99/00,12,0,0,0,23.8811438,0
20104S,WH,M,-20.02943,149.6951,3/27/2001,2001,00/01,13,0,0,4,33.7615108,4
20104S,WH,M,-20.02943,149.6951,11/8/2001,2001,2-Jan,45,2,0,1,36.83241703,0
20104S,WH,M,-20.02943,149.6951,11/30/2002,2002,3-Feb,48,4,0,16,34.86347022,15
20104S,WH,M,-20.02943,149.6951,2/18/2004,2004,4-Mar,7,5,2,9,40.87076314,
21529S,SW,M,-21.86258,152.18695,12/13/1998,1998,98/99,50,23,1,1,48.51439859,
21529S,SW,M,-21.86258,152.18695,11/20/1999,1999,99/00,46,1,0,4,50.52738425,3
21529S,SW,M,-21.86258,152.18695,9/9/2000,2000,00/01,36,0,0,0,52.2534299,0
21529S,SW,M,-21.86258,152.18695,8/12/2001,2001,2-Jan,33,3,0,6,63.61484984,6
21529S,SW,M,-21.86258,152.18695,9/11/2002,2002,3-Feb,37,5,2,149,60.72093802,143
21529S,SW,M,-21.86258,152.18695,10/25/2003,2003,4-Mar,43,1,0,1,51.95223191,
22088S,SW,M,-22.02368,152.19633,12/6/1998,1998,98/99,49,24,4,0,30.09553391,
22088S,SW,M,-22.02368,152.19633,11/21/1999,1999,99/00,47,2,0,0,33.09261491,0
22088S,SW,M,-22.02368,152.19633,9/10/2000,2000,00/01,37,0,0,0,38.46943079,0
22088S,SW,M,-22.02368,152.19633,8/11/2001,2001,2-Jan,32,2,0,19,42.5250047,19
22088S,SW,M,-22.02368,152.19633,9/5/2002,2002,3-Feb,36,6,2,20,47.27445236,1
22088S,SW,M,-22.02368,152.19633,10/26/2003,2003,4-Mar,44,3,0,0,40.6700052,
AGINCOURT,CA,O,-16.03838,145.86877,1/29/1999,1999,98/99,4,19,0,0,35.46417638,
AGINCOURT,CA,O,-16.03838,145.86877,1/24/2000,2000,99/00,4,0,0,0,36.55242115,0
AGINCOURT,CA,O,-16.03838,145.86877,1/29/2001,2001,00/01,5,0,0,1,38.45599967,1
AGINCOURT,CA,O,-16.03838,145.86877,9/15/2001,2001,2-Jan,37,5,2,8,38.81289782,7
AGINCOURT,CA,O,-16.03838,145.86877,10/26/2002,2002,3-Feb,43,3,0,22,36.66666667,14
AGINCOURT,CA,O,-16.03838,145.86877,1/7/2004,2004,4-Mar,1,2,0,5,35.22671126,
BORDER IS,WH,I,-20.1819,149.03772,3/13/1999,1999,98/99,10,30,1,0,29.46876231,
BORDER IS,WH,I,-20.1819,149.03772,3/25/2000,2000,99/00,12,1,0,0,27.65519004,0
BORDER IS,WH,I,-20.1819,149.03772,3/29/2001,2001,00/01,13,0,0,0,24.35822964,0
BORDER IS,WH,I,-20.1819,149.03772,11/13/2001,2001,2-Jan,46,1,0,0,30.2241206,0
BORDER IS,WH,I,-20.1819,149.03772,12/1/2002,2002,3-Feb,49,6,2,1,28.18136812,1
BORDER IS,WH,I,-20.1819,149.03772,2/24/2004,2004,4-Mar,8,18,0,3,29.13282574,
BROOMFIEL,CB,O,-23.24957,151.94255,11/26/1998,1998,98/99,47,18,2,1,50.28981877,
BROOMFIEL,CB,O,-23.24957,151.94255,12/2/1999,1999,99/00,48,1,0,1,48.30560313,0
BROOMFIEL,CB,O,-23.24957,151.94255,9/13/2000,2000,00/01,37,0,0,0,45.83691596,0
BROOMFIEL,CB,O,-23.24957,151.94255,8/8/2001,2001,2-Jan,32,1,0,21,56.44466054,21
BROOMFIEL,CB,O,-23.24957,151.94255,9/19/2002,2002,3-Feb,38,10,1,315,55.75256196,294
BROOMFIEL,CB,O,-23.24957,151.94255,10/27/2003,2003,4-Mar,44,5,0,0,52.94956263,
CARTER,CL,O,-14.52352,145.58198,10/11/1998,1998,98/99,41,6,0,6,65.16400784,
CARTER,CL,O,-14.52352,145.58198,10/16/1999,1999,99/00,41,8,0,18,61.96891281,12
CARTER,CL,O,-14.52352,145.58198,7/15/2000,2000,00/01,28,0,0,9,60.84559591,0
CARTER,CL,O,-14.52352,145.58198,7/8/2001,2001,2-Jan,28,4,0,101,57.98007576,92
CARTER,CL,O,-14.52352,145.58198,7/31/2002,2002,3-Feb,31,6,0,90,55.93976986,0
CARTER,CL,O,-14.52352,145.58198,8/26/2003,2003,4-Mar,35,4,0,32,57.26682219,
CHICKEN,TO,O,-18.65212,147.7217,4/25/1999,1999,98/99,17,18,0,2,42.39007146,
CHICKEN,TO,O,-18.65212,147.7217,5/3/2000,2000,99/00,18,0,0,1,36.9832164,0
CHICKEN,TO,O,-18.65212,147.7217,5/3/2001,2001,00/01,18,2,0,8,37.67678457,7
CHICKEN,TO,O,-18.65212,147.7217,2/7/2002,2002,2-Jan,6,8,0,9,36.95353535,1
CHICKEN,TO,O,-18.65212,147.7217,3/19/2003,2003,3-Feb,12,1,0,4,28.34430808,0
CHICKEN,TO,O,-18.65212,147.7217,5/1/2004,2004,4-Mar,17,7,3,1,12.9,
CHINAMAN,SW,M,-21.99795,152.66857,12/10/1998,1998,98/99,49,17,2,6,34.56809498,
CHINAMAN,SW,M,-21.99795,152.66857,11/25/1999,1999,99/00,47,2,0,0,35.4388522,0
CHINAMAN,SW,M,-21.99795,152.66857,9/7/2000,2000,00/01,36,0,0,0,36.42815959,0
CHINAMAN,SW,M,-21.99795,152.66857,8/18/2001,2001,2-Jan,33,1,0,3,42.18257956,3
CHINAMAN,SW,M,-21.99795,152.66857,9/7/2002,2002,3-Feb,36,3,2,34,43.76055664,31
CHINAMAN,SW,M,-21.99795,152.66857,10/22/2003,2003,4-Mar,43,1,0,0,5.93305043,
DAVIES,TO,M,-18.806,147.66862,4/17/1999,1999,98/99,15,22,1,2,40.64675931,
DAVIES,TO,M,-18.806,147.66862,5/12/2000,2000,99/00,19,1,0,4,34.53178045,2
DAVIES,TO,M,-18.806,147.66862,5/5/2001,2001,00/01,18,5,0,3,33.3067152,0
DAVIES,TO,M,-18.806,147.66862,2/5/2002,2002,2-Jan,6,9,1,5,32.49672131,2
DAVIES,TO,M,-18.806,147.66862,3/15/2003,2003,3-Feb,11,0,0,2,28.63675214,0
DAVIES,TO,M,-18.806,147.66862,4/28/2004,2004,4-Mar,17,5,2,13,26.9976285,
DECAPOLIS,CL,I,-14.8519,145.27063,10/14/1998,1998,98/99,41,14,0,0,24.63273796,
DECAPOLIS,CL,I,-14.8519,145.27063,10/19/1999,1999,99/00,42,9,0,0,24.9287377,0
DECAPOLIS,CL,I,-14.8519,145.27063,7/13/2000,2000,00/01,28,1,0,0,22.76284311,0
DECAPOLIS,CL,I,-14.8519,145.27063,7/16/2001,2001,2-Jan,29,5,3,2,24.57639619,2
DECAPOLIS,CL,I,-14.8519,145.27063,8/2/2002,2002,3-Feb,31,7,0,1,22.89793841,0
DIP,TO,O,-18.39987,147.4519,4/26/1999,1999,98/99,17,14,0,2,29.77165458,
DIP,TO,O,-18.39987,147.4519,5/2/2000,2000,99/00,18,0,0,1,26.40702318,0
DIP,TO,O,-18.39987,147.4519,5/2/2001,2001,00/01,18,2,0,1,25.61055881,0
DIP,TO,O,-18.39987,147.4519,2/9/2002,2002,2-Jan,6,8,0,2,27.24573151,1
DIP,TO,O,-18.39987,147.4519,3/18/2003,2003,3-Feb,12,2,0,3,25.58986552,1
DIP,TO,O,-18.39987,147.4519,4/29/2004,2004,4-Mar,17,4,1,4,24.9887419,
EAST CAY,SW,O,-21.46982,152.5665,12/7/1998,1998,98/99,49,22,3,2,20.66186354,
EAST CAY,SW,O,-21.46982,152.5665,11/22/1999,1999,99/00,47,2,0,1,20.47959437,0
EAST CAY,SW,O,-21.46982,152.5665,9/4/2000,2000,00/01,36,0,0,1,19.62197235,0
EAST CAY,SW,O,-21.46982,152.5665,8/16/2001,2001,2-Jan,33,2,0,2,21.27316153,1
EAST CAY,SW,O,-21.46982,152.5665,9/8/2002,2002,3-Feb,37,11,3,3,21.68792616,1
EAST CAY,SW,O,-21.46982,152.5665,10/20/2003,2003,4-Mar,43,2,0,1,21.69567456,
FITZROY I,CA,I,-16.92315,145.99313,2/8/1999,1999,98/99,6,19,2,0,31.94219515,
FITZROY I,CA,I,-16.92315,145.99313,2/2/2000,2000,99/00,5,0,0,0,6.827475779,0
FITZROY I,CA,I,-16.92315,145.99313,2/7/2001,2001,00/01,6,2,0,0,6.300616157,0
FITZROY I,CA,I,-16.92315,145.99313,9/22/2001,2001,2-Jan,38,9,0,0,8.320788582,0
FITZROY I,CA,I,-16.92315,145.99313,11/8/2002,2002,3-Feb,45,7,0,0,7.106267806,0
FITZROY I,CA,I,-16.92315,145.99313,1/18/2004,2004,4-Mar,3,13,0,0,9.736635155,
GANNET CA,SW,M,-21.97585,152.48017,12/11/1998,1998,98/99,49,22,4,0,19.36602185,
GANNET CA,SW,M,-21.97585,152.48017,11/27/1999,1999,99/00,47,1,0,1,17.21012914,1
GANNET CA,SW,M,-21.97585,152.48017,9/8/2000,2000,00/01,36,0,0,0,6.72079914,0
GANNET CA,SW,M,-21.97585,152.48017,8/13/2001,2001,2-Jan,33,2,0,0,3.720107962,0
GANNET CA,SW,M,-21.97585,152.48017,9/10/2002,2002,3-Feb,37,6,5,4,4.119473944,4
GANNET CA,SW,M,-21.97585,152.48017,10/24/2003,2003,4-Mar,43,1,0,0,12.91042831,
GREEN ISL,CA,I,-16.77532,145.98045,2/3/1999,1999,98/99,5,18,3,1,6.262970965,
GREEN ISL,CA,I,-16.77532,145.98045,2/4/2000,2000,99/00,5,1,0,0,4.147911513,0
GREEN ISL,CA,I,-16.77532,145.98045,2/10/2001,2001,00/01,6,0,0,0,4.381301054,0
GREEN ISL,CA,I,-16.77532,145.98045,9/24/2001,2001,2-Jan,39,4,0,0,4.794086866,0
