Occupied_Unoccupied,TotalCanopy,WildIndigoSize,NearestWildIndigo,DistanceNearestTree,DirectionTree,Slope,SlopeAspect
0,14.84,39.75,1,132,315,1,45
0,0.26,47.52,11,530,45,0,
0,6.51,35.51,22,325,270,0,
1,32.55,63.75,1,0,270,1,45
1,1.56,71.4,1,840,45,0,
0,21.61,62.9,123,175,270,0,
0,0.00,51,7,2025,90,0,
0,0.00,104.16,1,1530,90,0,
1,19.79,72.72,50,110,315,0,
1,10.94,55.2,1,370,0,0,
1,17.19,94.86,1,280,180,0,
1,15.10,75.75,7,39,315,0,
1,48.18,22.5,13,0,315,0,
0,2.86,64.5,74,1420,90,0,
1,52.60,27.73,3,0,135,0,
0,0.00,26.22,1,3840,0,0
1,41.15,60.2,1,0,225,0
1,23.70,235.2,1,215,225,0
0,0.00,31.59,3,990,315,0
1,30.73,67.26,1,130,90,0
0,0.00,31.96,1,3910,45,0
1,12.24,71.25,41,360,45,0
1,40.10,31.62,1,0,270,0
1,59.64,57,24,0,315,0
1,35.16,28.16,1,140,180,0
1,19.79,42.21,3,330,180,0
1,17.71,59.52,10,160,180,0
1,52.60,32.4,1,0,180,0
1,7.81,47.12,1,240,135,0
1,2.86,46.98,1,380,135,0
1,7.03,63.24,1,280,90,0
1,35.68,74.9,29,0,315,0,
0,0.00,26.1,1,1160,180,0,
0,0.00,30,17,1010,0,0,
1,3.13,16.81,1,270,90,2,90
1,7.81,64.32,95,320,270,1,45
0,0.00,53.32,9,2980,180,0,
1,12.76,49.92,4,76,90,1,45
0,0.00,41.76,2,3290,180,0,
0,0.00,52.36,1,2240,225,0,
0,0.00,132.5,1,2555,135,0,
0,0.00,33.55,1,2990,180,0,
0,0.00,24.18,5,3170,180,0,
0,0.00,20.64,3,3970,45,0,
0,0.00,31,16,1240,45,0,
0,0.00,118.58,1,4190,180,0,
0,36.46,42.78,5,0,225,1,135
0,0.00,57.76,50,500,225,1,315
0,0.00,25.42,23,2130,270,1,270
0,0.00,18.4,1,1810,315,1,270
0,0.00,40.71,45,1655,315,3,315
0,0.00,30.08,126,6120,315,0,
1,24.48,47.74,111,34,45,2,45
0,0.26,72.16,45,720,180,1,90
1,6.77,32.4,21,280,0,2,90
0,0.00,19.61,9,940,315,1,270
0,1.82,31.5,10,1000,315,1,315
1,10.68,118.44,1,176,315,6,225
1,41.67,54,12,0,90,8,270
1,21.61,63.2,28,0,45,7,225
1,24.74,63,1,0,180,2,270
0,3.39,112.5,31,140,0,1,0
0,44.79,73.92,8,0,90,0,
1,59.11,72,1,0,90,9,90
1,58.07,143.75,45,0,270,6,90
0,18.23,48.6,80,35,225,10,135
1,26.82,76.95,1,120,225,9,180
1,61.72,117.3,1,0,45,2,135
1,33.07,56.88,11,67,270,4,135
1,28.91,21.45,1,0,45,2,135
1,30.99,80.08,60,0,0,4,0
1,19.27,136,1,52,0,6,0
0,5.99,83.3,1,240,315,4,45
1,31.51,61.5,15,0,225,5,270
0,2.08,33.06,15,380,315,4,315
0,42.97,24,9,77,0,7,315
0,25.26,31.68,14,90,135,6,0
0,14.58,33.48,300,50,0,8,135
0,2.08,35.75,25,180,0,4,45
0,1.04,48.24,17,260,45,1,90
0,2.34,39,400,500,225,0,
0,16.15,95,1,28,90,0,
0,0.52,22,260,250,225,1,0
0,6.25,30.36,120,520,180,8,45
0,10.68,57,12,35,270,14,315
0,17.71,49.64,21,88,180,10,315
0,13.02,28.81,15,460,180,14,315
0,0.00,40.02,1,380,225,1,45
0,4.95,41.6,1,750,45,3,0
0,35.42,36.92,133,80,180,3,45
1,10.16,88.32,22,690,180,1,0
1,0.52,67.89,20,580,180,0,
0,0.00,31.68,47,810,180,1,90
1,3.13,93.45,1,410,90,3,315
1,9.11,53.3,6,230,270,13,315
1,21.61,272.7,5,0,270,11,315
0,1.04,33.06,1,860,135,2,180
1,18.49,120.84,25,27,90,2,135
0,0.00,30.24,17,210,0,3,180
1,55.99,31.5,1,0,270,2,135
1,15.10,127.5,17,210,45,2,90
1,64.84,76,1,0,90,3,180
1,49.74,24,93,0,0,3,90
1,40.89,100.57,1,0,45,2,135
1,66.15,61.2,1,0,135,1,135
1,25.26,148.5,1,105,135,2,135
1,10.68,72,1,112,135,2,135
1,22.66,66.3,1,0,135,2,135
1,63.02,57.4,1,0,135,1,135
0,6.77,37.05,5,61,90,2,135
1,8.85,60.68,1,91,135,3,135
1,26.82,94.5,1,45,135,3,135
1,27.08,94.77,1,0,90,2,135
1,38.28,79.68,1,0,270,3,135
1,3.65,79.1,1,1,0,1,135
1,6.51,60,1,25,0,1,135
0,0.00,54.9,1,475,90,4,135
1,8.33,66.5,1,92,180,1,180
0,4.43,29.64,133,200,315,1,135
1,20.57,111.6,1,0,135,4,135
0,0.00,39.68,30,780,315,3,135
0,1.82,49.68,124,210,270,2,180
1,39.32,95.46,1,0,180,4,135
0,0.00,52.2,1,1410,90,3,135
0,11.46,98.8,1,1,315,2,135
0,4.95,37.7,75,113,180,2,270
0,0.26,67.32,110,770,270,2,135
1,21.35,176.7,1,0,315,4,90
0,0.00,22.36,1,2250,45,3,135
1,44.01,127.5,1,0,135,4,135
0,0.00,21.45,1,2760,90,3,135
1,14.32,92.25,15,5,315,4,90
1,11.46,141.04,1,0,270,3,90
1,25.52,129.6,15,0,315,4,90
1,16.93,225.15,19,120,0,4,90
0,6.25,16.65,81,310,45,5,90
0,11.20,50.02,4,33,135,6,90
0,68.75,23.92,200,0,90,5,90
1,12.76,65.6,12,120,0,4,90
1,60.94,104.88,10,0,90,4,90
1,53.91,23.85,110,0,225,9,90
0,7.55,41.08,35,90,315,3,135
0,3.13,22.54,5,630,315,5,90
0,8.07,28.08,5,300,225,4,90
0,0.00,38.25,108,830,270,3,90
1,52.86,132,1,0,315,6,90
1,15.36,84.55,1,75,0,10,90
1,11.72,60.45,1,175,0,9,90
0,0.00,51.84,8,420,225,1,45
0,51.82,40.32,1,0,270,6,90
0,16.15,23.85,10,57,90,2,90
1,0.26,82.8,12,410,180,4,45
0,2.86,27.84,17,240,225,1,135
0,3.39,50.88,18,340,0,2,135
0,14.06,19.78,180,165,45,2,180
0,27.86,16.45,13,0,90,2,135
0,75.26,43.31,38,0,90,2,135
0,0.00,31.92,1,470,135,4,45
0,1.30,29.61,15,520,225,2,45
1,12.76,186.2,1,40,180,5,90
0,84.90,18.2,310,0,0,7,90
1,0.26,63.75,1,430,45,6,90
1,32.81,23.1,10,0,225,2,90
1,54.43,49.4,10,0,225,2,90
1,1.82,133,1,390,90,5,90
1,0.26,225.75,1,520,45,5,90
0,1.30,25.44,42,280,90,3,45
0,2.86,28.08,1,510,180,5,90
0,0.00,26.88,25,1030,45,4,135
1,0.00,46.2,9,590,90,4,90
0,0.52,36.18,13,860,315,2,45
1,8.59,268.8,6,500,90,8,90
0,77.34,23.52,75,0,270,8,45
0,0.00,55.25,64,590,135,2,90
0,8.07,37.7,53,170,315,6,135
0,8.85,42.75,7,114,0,8,45
0,0.00,112.1,1,610,90,2,135
0,12.24,24.08,120,106,0,4,90
1,56.25,51.35,9,0,135,8,90
1,23.70,187.68,1,60,90,5,90
1,37.76,272.25,3,0,135,7,90
1,13.54,99,1,65,270,4,90
0,0.78,40.15,6,670,90,3,90
0,86.20,21.83,41,0,315,12,90
1,8.85,144.4,1,75,270,3,90
1,32.03,214.5,1,0,90,5,90
1,32.29,121.55,1,0,0,2,90
1,20.83,61.6,1,280,270,6,45
0,89.84,20.7,8,0,225,2,45
0,6.25,37.17,1,126,180,1,90
1,25.00,207.36,57,10,270,6,135
1,18.23,128.1,88,125,45,6,135
0,3.91,15.54,97,290,315,1,90
0,78.39,56.8,74,0,270,5,90
0,0.00,37.7,2,370,45,1,90
0,27.08,121.77,70,154,315,10,90
0,10.16,33.66,230,138,270,9,90
0,66.15,57.51,330,0,90,6,90
0,2.34,66,320,340,315,3,135
0,0.52,29,402,210,270,0,0
1,19.01,127.4,1,290,0,6,90
1,20.31,210,1,0,90,7,90
1,5.99,89,6,420,180,5,135
1,4.69,68.53,1,480,135,5,135
1,25.52,39.06,1,0,0,5,135
1,6.25,145.5,7,230,225,5,135
1,64.84,31,100,0,135,6,135
0,70.57,23.97,80,0,0,6,135
1,14.84,27.03,1,220,315,5,90
1,35.94,35.38,1,0,270,5,90
1,17.71,107.91,7,105,0,5,90
1,19.53,15.6,1,140,135,5,90
1,24.74,30.16,4,25,135,6,90
1,20.05,16.81,1,79,270,6,90
1,15.36,240,1,340,270,5,90
1,41.41,59.2,190,110,0,1,135
1,45.83,18.33,210,20,90,2,180
1,55.47,18.72,6,0,0,1,180
0,69.79,18.15,380,0,90,5,90
1,29.17,61.88,1,300,0,5,90
1,10.42,155.2,1,290,45,1,90
0,0.00,107.67,50,830,270,1,90
0,1.04,78.3,9,880,225,2,90
0,10.42,29.5,4,580,270,3,90
0,2.86,56.42,8,480,225,4,90
0,7.03,29,1,600,90,4,90
0,0.00,17.6,73,960,45,4,135
0,0.00,21.84,16,720,45,4,135
0,0.00,56.16,34,670,0,4,135
1,29.95,276.41,1,130,270,5,90
1,19.27,120,1,220,225,5,90
0,3.13,74,5,500,270,6,90
1,48.18,90.85,120,0,0,7,90
1,53.91,28.67,235,30,0,7,90
1,54.69,56.09,5,80,270,4,90
1,63.54,21.28,9,50,270,3,90
1,63.80,29.61,1,25,180,3,90
1,53.65,150.72,1,0,180,3,90
0,0.00,67.64,1,910,315,2,90
0,0.00,27.44,53,940,315,1,90
0,0.00,211.47,1,900,270,1,90
0,0.00,100.7,6,1160,315,2,90
0,0.00,15.84,313,240,180,0,
1,23.96,109.2,1,80,180,2,135
1,10.94,60.52,1,308,135,2,135
1,31.51,49.68,7,0,90,2,135
1,27.08,23.18,1,4,90,2,135
0,9.90,18.5,7,150,90,2,135
0,0.00,17.16,3,1890,0,1,135
0,0.00,21.73,3,1830,0,1,135
0,0.00,109.76,1,1770,45,0,
0,0.00,25.01,1,2380,90,3,135
0,0.00,60.52,20,1960,90,2,135
0,0.00,20.16,3,2090,90,3,135
1,0.00,197.12,1,990,45,1,135
0,0.00,24.94,1,970,45,1,135
0,0.00,22.42,1,1120,45,1,135
1,64.58,140.22,10,0,0,1,135
1,74.22,256.2,1,0,0,1,135
1,31.25,242.08,1,94,0,1,180
1,13.80,246.4,8,170,0,2,180
1,34.38,37.17,1,0,0,1,180
1,27.34,75.65,1,30,0,1,135
1,45.57,235.2,1,10,45,1,135
0,18.49,55.08,1,81,0,1,180
0,0.00,70.81,57,620,180,1,90
0,0.26,21.32,31,870,270,1,90
0,0.00,26.32,1,690,180,1,90
0,0.00,71.07,1,1020,180,1,90
1,20.57,63.91,1,280,270,3,45
1,21.61,72.98,90,340,270,3,45
0,7.55,29.76,1,260,0,1,45
0,7.29,24.4,35,280,135,2,45
0,13.02,24.08,1,320,180,3,135
0,7.29,30.55,228,780,270,3,135
0,17.71,35.36,45,630,225,3,135
1,8.59,177.84,5,30,270,4,315
1,11.20,112.2,20,370,0,11,315
1,13.02,136.99,20,270,135,12,315
1,1.56,74.26,1,460,270,4,315
1,1.04,17.16,26,420,270,4,315
1,0.00,28.35,7,760,225,6,315
1,0.00,199.92,1,512,180,8,315
0,0.00,97.01,230,1710,90,0,
0,0.00,43.12,40,1260,135,1,45
0,0.00,63.51,44,1280,135,1,45
0,0.00,91.67,4,1310,135,1,45
1,0.78,277.2,1,490,45,12,315
1,0.00,228.52,1,530,90,13,315
1,0.00,140.62,8,650,90,11,315
1,8.33,66.36,6,160,135,12,135
0,0.00,20.67,260,670,90,2,135
0,0.00,86.7,2,850,225,1,135
1,55.99,38.76,241,0,270,0,
0,70.05,15.84,8,0,90,0,
0,0.00,36.72,410,920,135,6,315
0,0.00,87.4,1,890,135,9,315
0,0.00,72.16,1,1590,225,0,
0,0.00,64.17,16,1390,225,0,
0,8.07,42.16,58,48,270,1,180
0,0.00,179.3,1,450,225,0,
0,5.21,20.74,1,270,225,0,
0,8.33,24.57,102,180,180,0,
0,0.00,17.16,412,1880,225,0,
1,33.07,77.35,1,0,90,2,135
1,24.22,42.48,92,210,270,1,135
1,28.13,96.32,1,0,270,3,135
1,30.73,65.52,1,0,315,3,135
1,38.54,137.7,67,0,135,4,135
0,25.78,62.4,1,0,0,3,135
0,18.23,122.85,8,112,315,3,135
0,65.63,35.55,251,0,180,12,225
0,70.05,30.55,310,0,45,10,225
0,78.39,38.28,1,0,90,12,225
0,75.78,17.16,81,0,180,7,225
1,24.22,48.24,6,12,0,6,315
1,43.49,70.07,8,0,45,6,315
1,35.94,85.26,1,0,315,4,315
0,6.25,22.56,91,110,315,8,135
1,71.61,35.96,6,0,90,9,180
0,80.99,60,61,0,135,6,180
0,82.55,18.62,1,0,270,7,180
1,15.63,113.12,1,237,90,5,135
0,16.15,16.64,1,120,315,7,135
0,16.15,29.92,293,133,135,5,135
1,6.51,72.98,20,123,90,3,270
1,15.36,69.76,1,50,45,2,270
1,3.13,55.48,8,124,90,2,315
1,19.27,129.15,14,0,0,0,
1,26.04,58.8,1,44,90,0,
1,36.72,49.77,19,34,90,1,0
1,45.05,163.9,1,0,315,1,0
1,53.91,103.74,1,0,225,1,0
1,29.43,64.8,239,18,90,0,
0,53.91,99.84,1,0,315,0,
0,83.07,19.61,236,0,180,0,
1,18.23,33.63,37,8,315,0,
1,46.88,106.68,1,0,0,0,
0,66.41,20.28,1,0,45,0,
1,10.42,171.6,1,64,180,1,135
0,9.90,28.56,1,0,45,1,135
