trial	day	position	treatment	freq
CN.1	1	1	CN	6
CN.1	1	3	CN	25
CN.1	1	2	CN	5
CN.10	10	1	CN	11
CN.10	10	3	CN	10
CN.10	10	2	CN	15
CN.11	11	3	CN	7
CN.11	11	2	CN	21
CN.11	11	1	CN	8
CN.12	12	3	CN	14
CN.12	12	2	CN	8
CN.12	12	1	CN	2
CN.13	13	1	CN	6
CN.13	13	2	CN	15
CN.13	13	3	CN	15
CN.14	14	1	CN	12
CN.14	14	2	CN	10
CN.14	14	3	CN	14
CN.2	2	3	CN	12
CN.2	2	1	CN	12
CN.2	2	2	CN	12
CN.3	3	2	CN	14
CN.3	3	3	CN	9
CN.3	3	1	CN	13
CN.4	4	2	CN	18
CN.4	4	1	CN	7
CN.4	4	3	CN	11
CN.5	5	1	CN	12
CN.5	5	3	CN	14
CN.5	5	2	CN	10
CN.6	6	1	CN	11
CN.6	6	3	CN	14
CN.6	6	2	CN	11
CN.7	7	3	CN	8
CN.7	7	2	CN	22
CN.7	7	1	CN	6
CN.8	8	2	CN	9
CN.8	8	1	CN	13
CN.8	8	3	CN	14
CN.9	9	2	CN	13
CN.9	9	1	CN	13
CN.9	9	3	CN	10
GR.1	1	1	GR	15
GR.1	1	3	GR	16
GR.1	1	2	GR	5
GR.10	10	3	GR	7
GR.10	10	1	GR	4
GR.10	10	2	GR	25
GR.11	11	2	GR	20
GR.11	11	3	GR	11
GR.11	11	1	GR	5
GR.12	12	1	GR	5
GR.12	12	2	GR	16
GR.12	12	3	GR	15
GR.13	13	1	GR	9
GR.13	13	2	GR	17
GR.13	13	3	GR	10
GR.14	14	3	GR	7
GR.14	14	1	GR	11
GR.14	14	2	GR	6
GR.2	2	2	GR	16
GR.2	2	3	GR	11
GR.2	2	1	GR	9
GR.3	3	2	GR	11
GR.3	3	1	GR	16
GR.3	3	3	GR	9
GR.4	4	1	GR	8
GR.4	4	3	GR	5
GR.4	4	2	GR	23
GR.5	5	1	GR	8
GR.5	5	3	GR	8
GR.5	5	2	GR	20
GR.6	6	3	GR	3
GR.6	6	2	GR	29
GR.6	6	1	GR	4
GR.7	7	2	GR	20
GR.7	7	1	GR	7
GR.7	7	3	GR	9
GR.8	8	2	GR	23
GR.8	8	1	GR	7
GR.8	8	3	GR	6
GR.9	9	1	GR	13
GR.9	9	3	GR	4
GR.9	9	2	GR	19
LF.1	1	3	LF	8
LF.1	1	1	LF	9
LF.1	1	2	LF	7
LF.10	10	2	LF	18
LF.10	10	3	LF	7
LF.10	10	1	LF	11
