Lake	Latitude	Longitude	1976	1977	1978	1981
1	58.0	7.2	6.5		7.3	6.0
2	58.1	6.3	5.5		6.2	4.8
4	58.5	7.9	4.8	6.5	4.6	3.6
5	58.6	8.9	7.4	7.6	6.8	5.6
6	58.7	7.6	3.7	4.2	3.3	2.9
7	59.1	6.5	1.8		1.5	1.8
8	58.9	7.3	2.7	2.7	2.3	2.1
9	59.1	8.5	3.8	3.7	3.6	3.8
10	58.9	9.3	8.4	9.1	8.8	8.7
11	59.4	6.4	1.6	2.6	1.8	1.5
12	58.8	7.5	2.5	2.7	2.8	2.9
13	59.3	7.6	3.2		2.7	2.9
15	59.3	9.8	4.6		4.9	4.9
17	59.1	11.8	7.6	9.1	9.6	7.6
18	59.7	6.2	1.6	2.4	2.6	2.0
19	59.7	7.3	1.5	1.3	1.9	1.7
20	59.9	8.3	1.4	1.6	1.8	1.8
21	59.8	8.9	4.6		5.3	4.2
24	60.1	12.0	5.8	6.2	5.9	5.4
26	59.6	5.9	1.5	1.6		
30	60.4	10.2	4.0	3.9	4.9	4.3
32	60.4	12.2	5.1	5.7	5.4	4.3
34-1	60.5	5.5			1.4	1.3
36	60.9	7.3	1.4	1.0	1.1	1.2
38	60.9	10.0	3.8	3.3	3.1	
40	60.7	12.2	5.1	5.8	5.0	4.2
41	61.0	5.0	2.8	3.2	1.6	
42	61.3	5.6	1.6			1.6
43	61.0	6.9	1.5	1.5	1.4	1.6
46	61.0	9.7	3.2		2.6	2.3
47	61.3	10.8	2.8	1.7	1.9	1.8
49	61.5	4.9	3.0	1.9	1.5	1.7
50	61.5	5.5	0.7	1.8	1.5	1.5
57	61.7	4.9	3.1		2.4	2.2
58	61.7	5.8	2.1	1.9	1.3	1.6
59	61.9	7.1	3.9	1.5	1.7	
65	62.2	6.4	1.9	1.9	1.5	1.7
80	58.1	6.7	5.2		5.6	3.9
81	58.3	8.0	5.3		5.4	4.2
82	58.7	7.1	2.9		2.9	2.2
83	58.9	6.1	1.6	1.5	1.7	1.9
85	59.4	11.3	13.0	15.0	13.0	10.0
86	59.3	9.4	5.5	5.9	5.7	4.8
87	59.2	7.6	2.8		2.6	3.0
88	59.4	7.3	1.6	1.6	1.4	1.8
89	59.3	6.3	2.0		2.4	2.0
94	61.0	11.5	5.8	6.9	5.9	5.8
95-1	61.2	4.6			2.3	1.6
