Plot,SPP,U,V,W,date,truecover,logw
503,ACERRUBR,2,2.952755906,3.423851966,1999,1,1.230766223
506,OSTRVIR,80,141.7322835,462.6004434,1999,1,6.136863708
526,CELTOCC,6,6.88976378,16.35840384,1999,1,2.794741762
526,FAGUGRA,13,10.33464567,10.0813419,1999,1,2.310686379
532,QUERFAL,1,50,1963.495408,1999,1,7.582481536
63,QUERALB,6,13.77952756,101.574275,2001,1,4.620790304
67,VIBURUF,5,2.460629921,0.951069991,2001,1,-0.050167622
68,ULMUALA,5,2.460629921,0.951069991,2001,1,-0.050167622
988,ULMURUB,3,6.397637795,11.22262589,1999,1,2.417931909
1,FRAX1S1,1,1.476377953,1.711925983,2000,2,0.537619043
1,JUNIVIR,9,12.30314961,29.10274171,2000,2,3.370832387
1,ULMUALA,8,21.65354331,50.21649551,2000,2,3.916343568
11,AMELARB,1,1.476377953,1.711925983,2001,2,0.537619043
11,FAGUGRA,5,2.460629921,0.951069991,2001,2,-0.050167622
11,FRAX1S1,1,1.476377953,1.711925983,2001,2,0.537619043
11,JUNIVIR,4,11.81102362,28.15167172,2001,2,3.337606739
11,QUERRUB,11,6.397637795,3.614065964,2001,2,1.284833444
11,QUERVEL,1,1.476377953,1.711925983,2001,2,0.537619043
11,VIBUPRU,10,4.921259843,1.902139981,2001,2,0.642979558
11,VIBUPRU,10,4.921259843,1.902139981,2001,2,0.642979558
11,VIBURAF,15,7.381889764,2.853209972,2001,2,1.048444666
12,CERCCAN,1,1.476377953,1.711925983,2000,2,0.537619043
12,FAGUGRA,1,4.429133858,15.40733385,2000,2,2.73484362
12,JUNIVIR,1,1.476377953,1.711925983,2000,2,0.537619043
12,PRUNSER,7,5.413385827,4.374921957,2000,2,1.475888681
12,VIBURUF,2,3.937007874,6.467275936,2000,2,1.86675499
14,FAGUGRA,5,2.460629921,0.951069991,2000,2,-0.050167622
14,JUNIVIR,5,15.25590551,46.60242954,2000,2,3.841652676
14,VIBUACE,5,2.460629921,0.951069991,2000,2,-0.050167622
17,ACERRUBR,35,44.78346457,64.48254536,2001,2,4.166394573
17,CARYTOM,1,1.476377953,1.711925983,2001,2,0.537619043
17,DIOSVIR,2,4.921259843,9.510699906,2001,2,2.252417471
17,ULMUAME,1,1.476377953,1.711925983,2001,2,0.537619043
17,VIBURUF,1,1.476377953,1.711925983,2001,2,0.537619043
17,VITIROT,5,2.460629921,0.951069991,2001,2,-0.050167622
18,NYSSSYL,30,44.29133858,68.09661133,2001,2,4.220927452
18,QUERFAL,2,25.59055118,257.5497535,2001,2,5.551212919
2,CARYOVT,5,2.460629921,0.951069991,2000,2,-0.050167622
2,CARYTOM,2,2.952755906,3.423851966,2000,2,1.230766223
2,FAGUGRA,10,4.921259843,1.902139981,2000,2,0.642979558
2,VIBUACE,5,2.460629921,0.951069991,2000,2,-0.050167622
21,DIOSVIR,7,5.413385827,4.374921957,2001,2,1.475888681
21,JUNIVIR,3,10.33464567,29.48316971,2001,2,3.383819582
21,PINUVIR,1,9.350393701,68.66725332,2001,2,4.229272424
21,VITIROT,10,4.921259843,1.902139981,2001,2,0.642979558
25,JUNIVIR,2,2.952755906,3.423851966,2000,2,1.230766223
25,NYSSSYL,3,5.413385827,8.179201919,2000,2,2.101594581
25,PINUECH,1,11.31889764,100.623205,2000,2,4.611382897
25,QUERALB,4,196.5,7631.910303,2000,2,8.94009346
25,QUERVEL,5,2.460629921,0.951069991,2000,2,-0.050167622
26,CERCCAN,10,4.921259843,1.902139981,2001,2,0.642979558
26,ILEXOPAO,5,2.460629921,0.951069991,2001,2,-0.050167622
26,JUNIVIR,5,2.460629921,0.951069991,2001,2,-0.050167622
29,CARPCAR,20,9.842519685,3.804279963,2001,2,1.336126739
29,CARYOVT,5,2.460629921,0.951069991,2001,2,-0.050167622
29,PINUECH,1,40.5,1288.249338,2001,2,7.161039473
29,SMILROT,25,12.30314961,4.755349953,2001,2,1.55927029
30,JUNIVIR,10,4.921259843,1.902139981,2001,2,0.642979558
30,PRUNSER,5,2.460629921,0.951069991,2001,2,-0.050167622
31,FRAX1S1,5,2.460629921,0.951069991,2001,2,-0.050167622
31,JUNIVIR,8,51.25590551,1049.641757,2001,2,6.956204202
31,LIRITUL,1,1.476377953,1.711925983,2001,2,0.537619043
31,OXYDARB,1,1.476377953,1.711925983,2001,2,0.537619043
31,PRUNSER,19,18.20866142,17.30947383,2001,2,2.851253972
31,VIBUACE,35,17.22440945,6.657489934,2001,2,1.895742527
31,VIBUPRU,5,2.460629921,0.951069991,2001,2,-0.050167622
34,PRUNSER,1,1.476377953,1.711925983,2001,2,0.537619043
35,CARYTOM,1,3.44488189,9.320485908,2001,2,2.232214763
